country,inflation_rate,exports_gdp_share,gdp_growth_rate,gdp_per_capita,adult_literacy_rate,primary_school_enrolment_rate,education_expenditure_gdp_share,measles_immunisation_rate,health_expenditure_gdp_share,income_inequality,unemployment_rate,life_expectancy,total_population
Afghanistan,13.7121023720065,18.3800424016375,-6.24017199240269,357.261152798144,,,,56.0,23.0881691,,14.1,65.617,40578842.0
Albania,6.72520271530052,37.1970818190154,4.82669611912765,6846.42669381643,,96.3712299304757,2.72976994514465,86.0,6.19368076,,10.137,78.769,2777689.0
Algeria,9.26551551551555,30.8089785470304,3.60000000094915,4961.55257664733,,105.74715363116,4.74924673000603,79.0,3.6230433,,12.346,76.129,45477389.0
American Samoa,,46.9575200918485,1.73501577287065,18017.4589383973,,,,,,,,72.752,48342.0
Andorra,,,9.56461225648184,42414.0590092117,,90.4656808651512,2.64727997779846,98.0,7.53678846,,,84.016,79705.0
Angola,21.3552901320822,44.391642097512,3.04472652391918,2929.69445467272,,,2.38535898416633,50.0,2.92737579,,14.602,64.246,35635029.0
Antigua and Barbuda,7.53107834634287,54.7237649635992,9.10780623385958,20105.1989085164,,121.563206835888,2.50368755552383,99.0,5.7299943,,,77.483,92840.0
Argentina,72.430757531824,16.248014443903,5.26987967384072,13935.6811110049,,106.759826660156,4.79263019561768,85.0,9.86305332,40.7,6.805,75.806,45407904.0
Armenia,8.64091108973852,50.2249804603907,12.5999999997766,6571.97445545099,99.8199996948242,96.9454296559019,2.4918999671936,95.0,9.96212864,27.9,13.379,74.7658536585366,2969200.0
Aruba,,87.5702803628607,8.51791810517545,30559.5335346581,,102.620727539062,,,,,,76.226,107310.0
Australia,6.59409671341846,25.5315880289865,4.24238555336139,64997.0136536475,,99.1329879760742,5.05916023254395,96.0,9.92687893,,3.728,83.2,26014399.0
Austria,8.54686993188449,61.9626734104832,5.27789448538658,52176.6649141178,,100.77562713623,5.27748012542725,95.0,11.15729332,30.9,4.992,81.2951219512195,9041851.0
Azerbaijan,13.8522590144267,59.9868480668076,4.71468037857544,7770.594223351,,99.8082977244143,3.04690003395081,71.0,3.97840643,,5.65,74.125,10141756.0
"Bahamas, The",5.60540633583038,37.1589142824247,10.8774550145968,34957.1613279737,,,2.62367021406169,80.0,7.21692038,,9.272,74.491,397538.0
Bahrain,3.62574104304489,95.9613654006004,6.18016125475185,30470.5219276023,97.870002746582,96.9927291173487,1.71192127094005,99.0,3.83745313,,1.326,80.992,1524693.0
Bangladesh,7.69695437176898,12.8822264348985,7.09982877575158,2716.48592780431,79.0,107.802066750685,2.08538657806243,96.0,2.39038587,30.9,4.593,74.265,169384897.0
Barbados,,,17.8328630251327,22164.0260273876,,90.1875316776483,4.14000988006592,85.0,6.29389191,,8.365,75.676,282318.0
Belarus,15.209675274081,63.0511868938428,-4.65839591573585,7994.64806074889,,95.4307149291864,4.62823009490967,98.0,6.65919876,,3.574,74.1033658536585,9228071.0
Belgium,9.59751172872501,95.2395955015917,4.2593607365269,50822.2518538518,,102.176986694336,6.27796983718872,96.0,10.76192474,26.4,5.57,81.7487804878049,11680210.0
Belize,6.27689319447547,53.2722099272842,9.65297772389758,7068.45478269722,87.879997253418,101.531373116389,4.60415983200073,81.0,4.23173904,,8.763,72.19,402733.0
Benin,1.35077863583529,20.8153300474458,6.25294705373625,1266.42710981159,51.3800010681152,108.036239624023,3.0972642678305,52.0,2.67981386,,1.685,60.475,13759501.0
Bermuda,,50.2988488872967,6.47622571186707,121613.939983629,,,1.77583338857166,,,,,82.062,64749.0
Bhutan,5.63916671396366,25.4988399587876,5.21386783786224,3711.32767981591,64.9100036621094,105.266151405341,7.46981980280053,97.0,4.38545895,28.5,5.947,72.754,780914.0
Bolivia,1.74632872945968,32.6115548527874,3.60568042633635,3643.92826984604,,99.1960878877715,7.57550001144409,69.0,8.43142891,41.2,3.552,67.434,12077154.0
Bosnia and Herzegovina,14.0208440826771,48.307102350834,4.22681101095546,7655.59421024383,,101.604507446289,2.97012986426524,58.0,8.71644783,,12.657,76.777,3204802.0
Botswana,11.665567478802,43.5436117786863,5.48601706446772,8328.70905682185,,109.27325614686,,90.0,5.72838593,,23.615,68.749,2439892.0
Brazil,9.28010608956872,19.6307650034371,3.01669435393015,9281.33334441234,94.3853874531348,103.970321655273,5.61922979354858,81.0,9.14277458,52.0,9.231,74.872,210306415.0
British Virgin Islands,,,,,,73.1715698242188,2.48401999473572,,,,,77.177,38319.0
Brunei Darussalam,3.68225030604211,86.3893570088471,-1.62833154022366,36632.9280421411,,99.134912983916,,97.0,1.81768215,,5.191,72.917,455370.0
Bulgaria,15.3252589264367,69.9770907029936,4.03877758301681,13999.6719197289,,95.8885192871094,4.50109004974365,91.0,7.66357517,38.2,4.268,74.1609756097561,6465097.0
Burkina Faso,,31.744842886064,1.4972397409897,836.118304593682,40.9199981689453,82.2567064320916,5.29456753304241,88.0,6.77182007,,5.389,60.7,22509038.0
Burundi,18.8008786664945,4.9710985076333,1.84899943948213,250.634225368744,,,,89.0,8.39522648,,0.915,62.882,13321097.0
Cabo Verde,7.9309292543009,38.6842542170134,15.843675684642,4323.31362032709,,102.973013922324,4.7252554800722,95.0,6.67440224,,12.246,75.907,519741.0
Cambodia,5.34370264895434,72.2070606780988,5.12990110767267,2325.03050040841,,106.331544381276,1.95793279576416,83.0,4.71089554,,0.231,70.528,17201724.0
